#;nome-taxon;autoria;ano;ordem;subordem;infraordem;parvordem;superfamilia;familia;subfamilia;genero;especie;nome_vernaculo
2959;Philydor pyrrhodes;Cabanis;1848;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Philydor;pyrrhodes;limpa-folha-vermelho
888;Calidris subruficollis;Vieillot;1819;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;subruficollis;maçarico-acanelado
882;Calidris alba;Pallas;1764;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;alba;maçarico-branco
917;Tringa semipalmata;Gmelin;1789;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;semipalmata;maçarico-de-asa-branca
921;Tringa glareola;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;glareola;maçarico-de-bico-curto
881;Calidris ferruginea;Pontoppidan;1763;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;ferruginea;maçarico-de-bico-curvo
884;Calidris bairdii;Coues;1861;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;bairdii;maçarico-de-bico-fino
863;Numenius hudsonicus;Latham;1790;Charadriiformes;Scolopaci;;;;Scolopacidae;Numeniinae;Numenius;hudsonicus;maçarico-de-bico-torto
870;Limosa haemastica;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Limosinae;Limosa;haemastica;maçarico-de-bico-virado
889;Calidris melanotos;Vieillot;1819;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;melanotos;maçarico-de-colete
894;Limnodromus griseus;Gmelin;1789;Charadriiformes;Scolopaci;;;;Scolopacidae;Scolopacinae;Limnodromus;griseus;maçarico-de-costas-brancas
877;Calidris canutus;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;canutus;maçarico-de-papo-vermelho
918;Tringa flavipes;Gmelin;1789;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;flavipes;maçarico-de-perna-amarela
919;Tringa totanus;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;totanus;maçarico-de-perna-vermelha
887;Calidris fuscicollis;Vieillot;1819;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;fuscicollis;maçarico-de-sobre-branco
891;Calidris mauri;Cabanis;1857;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;mauri;maçarico-do-alasca
860;Bartramia longicauda;Bechstein;1812;Charadriiformes;Scolopaci;;;;Scolopacidae;Numeniinae;Bartramia;longicauda;maçarico-do-campo
862;Numenius borealis;Forster;1772;Charadriiformes;Scolopaci;;;;Scolopacidae;Numeniinae;Numenius;borealis;maçarico-esquimó
864;Numenius phaeopus;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Numeniinae;Numenius;phaeopus;maçarico-galego
916;Tringa inornata;Brewster;1887;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;inornata;maçarico-grande-de-asa-branca
915;Tringa melanoleuca;Gmelin;1789;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;melanoleuca;maçarico-grande-de-perna-amarela
871;Limosa fedoa;Linnaeus;1758;Charadriiformes;Scolopaci;;;;Scolopacidae;Limosinae;Limosa;fedoa;maçarico-marmóreo
885;Calidris minuta;Leisler;1812;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;minuta;maçarico-pequeno
880;Calidris himantopus;Bonaparte;1826;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;himantopus;maçarico-pernilongo
910;Actitis macularius;Linnaeus;1766;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Actitis;macularius;maçarico-pintado
890;Calidris pusilla;Linnaeus;1766;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;pusilla;maçarico-rasteirinho
912;Tringa solitaria;Wilson;1813;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Tringa;solitaria;maçarico-solitário
908;Xenus cinereus;Guldenstadt;1774;Charadriiformes;Scolopaci;;;;Scolopacidae;Tringinae;Xenus;cinereus;maçarico-tereque
886;Calidris minutilla;Vieillot;1819;Charadriiformes;Scolopaci;;;;Scolopacidae;Arenariinae;Calidris;minutilla;maçariquinho
14;Tinamus solitarius;Vieillot;1819;Tinamiformes;;;;;Tinamidae;;Tinamus;solitarius;macuco
2647;Eleoscytalopus indigoticus;Wied;1831;Passeriformes;Tyranni;Furnariides;Furnariida;Grallarioidea;Rhinocryptidae;Scytalopodinae;Eleoscytalopus;indigoticus;macuquinho
2648;Eleoscytalopus psychopompus;Teixeira & Carnevalli;1989;Passeriformes;Tyranni;Furnariides;Furnariida;Grallarioidea;Rhinocryptidae;Scytalopodinae;Eleoscytalopus;psychopompus;macuquinho-baiano
1590;Nonnula rubecula;Spix;1824;Galbuliformes;;;;;Bucconidae;Bucconinae;Nonnula;rubecula;macuru
1615;Notharchus swainsoni;Gray;1846;Galbuliformes;;;;;Bucconidae;Bucconinae;Notharchus;swainsoni;macuru-de-barriga-castanha
1617;Notharchus ordii;Cassin;1851;Galbuliformes;;;;;Bucconidae;Bucconinae;Notharchus;ordii;macuru-de-peito-marrom
1616;Notharchus macrorhynchos;Gmelin;1788;Galbuliformes;;;;;Bucconidae;Bucconinae;Notharchus;macrorhynchos;macuru-de-pescoço-branco
1612;Notharchus hyperrhynchus;Sclater;1856;Galbuliformes;;;;;Bucconidae;Bucconinae;Notharchus;hyperrhynchus;macuru-de-testa-branca
1607;Micromonacha lanceolata;Deville;1849;Galbuliformes;;;;;Bucconidae;Bucconinae;Micromonacha;lanceolata;macuru-papa-mosca
1609;Notharchus tectus;Boddaert;1783;Galbuliformes;;;;;Bucconidae;Bucconinae;Notharchus;tectus;macuru-pintado
2543;Phlegopsis nigromaculata;d'Orbigny & Lafresnaye;1837;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Phlegopsis;nigromaculata;mãe-de-taoca
2565;Rhegmatorhina berlepschi;Snethlage;1907;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Rhegmatorhina;berlepschi;mãe-de-taoca-arlequim
2549;Phlegopsis erythroptera;Gould;1855;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Phlegopsis;erythroptera;mãe-de-taoca-avermelhada
2553;Gymnopithys leucaspis;Sclater;1855;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Gymnopithys;leucaspis;mãe-de-taoca-bochechuda
2568;Rhegmatorhina melanosticta;Sclater & Salvin;1880;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Rhegmatorhina;melanosticta;mãe-de-taoca-cabeçuda
2567;Rhegmatorhina cristata;Pelzeln;1868;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Rhegmatorhina;cristata;mãe-de-taoca-cristada
2564;Rhegmatorhina gymnops;Ridgway;1888;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Rhegmatorhina;gymnops;mãe-de-taoca-de-cara-branca
2560;Oneillornis salvini;Berlepsch;1901;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Oneillornis;salvini;mãe-de-taoca-de-cauda-barrada
2555;Gymnopithys rufigula;Boddaert;1783;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Gymnopithys;rufigula;mãe-de-taoca-de-garganta-vermelha
2548;Phlegopsis borbae;Hellmayr;1907;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Phlegopsis;borbae;mãe-de-taoca-dourada
2566;Rhegmatorhina hoffmannsi;Hellmayr;1907;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Rhegmatorhina;hoffmannsi;mãe-de-taoca-papuda
1131;Ciconia maguari;Gmelin;1789;Ciconiiformes;;;;;Ciconiidae;;Ciconia;maguari;maguari
1952;Pionus reichenowi;Heine;1884;Psittaciformes;;;;;Psittacidae;Arinae;Pionus;reichenowi;maitaca-de-barriga-azul
1951;Pionus menstruus;Linnaeus;1766;Psittaciformes;;;;;Psittacidae;Arinae;Pionus;menstruus;maitaca-de-cabeça-azul
1946;Pionus fuscus;Statius Muller;1776;Psittaciformes;;;;;Psittacidae;Arinae;Pionus;fuscus;maitaca-roxa
1947;Pionus maximiliani;Kuhl;1820;Psittaciformes;;;;;Psittacidae;Arinae;Pionus;maximiliani;maitaca-verde
944;Stercorarius antarcticus;Lesson;1831;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;antarcticus;mandrião-antártico
942;Stercorarius chilensis;Bonaparte;1857;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;chilensis;mandrião-chileno
950;Stercorarius longicaudus;Vieillot;1819;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;longicaudus;mandrião-de-cauda-comprida
943;Stercorarius maccormicki;Saunders;1893;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;maccormicki;mandrião-do-sul
941;Stercorarius skua;Brünnich;1764;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;skua;mandrião-grande
949;Stercorarius parasiticus;Linnaeus;1758;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;parasiticus;mandrião-parasítico
948;Stercorarius pomarinus;Temminck;1815;Charadriiformes;Lari;;;;Stercorariidae;;Stercorarius;pomarinus;mandrião-pomarino
2057;Primolius maracana;Vieillot;1816;Psittaciformes;;;;;Psittacidae;Arinae;Primolius;maracana;maracanã
2058;Primolius couloni;Sclater;1876;Psittaciformes;;;;;Psittacidae;Arinae;Primolius;couloni;maracanã-de-cabeça-azul
2059;Primolius auricollis;Cassin;1853;Psittaciformes;;;;;Psittacidae;Arinae;Primolius;auricollis;maracanã-de-colar
2055;Orthopsittaca manilatus;Boddaert;1783;Psittaciformes;;;;;Psittacidae;Arinae;Orthopsittaca;manilatus;maracanã-do-buriti
2062;Ara severus;Linnaeus;1758;Psittaciformes;;;;;Psittacidae;Arinae;Ara;severus;maracanã-guaçu
2073;Diopsittaca nobilis;Linnaeus;1758;Psittaciformes;;;;;Psittacidae;Arinae;Diopsittaca;nobilis;maracanã-pequena
3562;Hemitriccus josephinae;Chubb;1914;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;josephinae;maria-bicudinha
3498;Taeniotriccus andrei;Berlepsch & Hartert;1902;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Taeniotriccus;andrei;maria-bonita
3740;Ramphotrigon megacephalum;Swainson;1835;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Ramphotrigon;megacephalum;maria-cabeçuda
3583;Hemitriccus kaempferi;Zimmer;1953;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;kaempferi;maria-catarinense
3754;Myiarchus ferox;Gmelin;1789;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiarchus;ferox;maria-cavaleira
3757;Myiarchus tyrannulus;Statius Muller;1776;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiarchus;tyrannulus;maria-cavaleira-de-rabo-enferrujado
3747;Myiarchus tuberculifer;d'Orbigny & Lafresnaye;1837;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiarchus;tuberculifer;maria-cavaleira-pequena
3623;Euscarthmus rufomarginatus;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Elaeniinae;Euscarthmus;rufomarginatus;maria-corruíra
3580;Hemitriccus inornatus;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;inornatus;maria-da-campina
3874;Ochthornis littoralis;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Fluvicolinae;Ochthornis;littoralis;maria-da-praia
3454;Phylloscartes kronei;Willis & Oniki;1992;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;kronei;maria-da-restinga
3565;Hemitriccus griseipectus;Snethlage;1907;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;griseipectus;maria-de-barriga-branca
3745;Ramphotrigon fuscicauda;Chapman;1925;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Ramphotrigon;fuscicauda;maria-de-cauda-escura
3563;Hemitriccus zosterops;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;zosterops;maria-de-olho-branco
3586;Atalotriccus pilaris;Cabanis;1847;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Atalotriccus;pilaris;maria-de-olho-claro
3556;Hemitriccus flammulatus;Berlepsch;1901;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;flammulatus;maria-de-peito-marchetado
3457;Phylloscartes nigrifrons;Salvin & Godman;1884;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;nigrifrons;maria-de-testa-preta
3526;Poecilotriccus senex;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Poecilotriccus;senex;maria-do-madeira
3582;Hemitriccus mirandae;Snethlage;1925;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;mirandae;maria-do-nordeste
1216;Syrigma sibilatrix;Temminck;1824;Pelecaniformes;;;;;Ardeidae;;Syrigma;sibilatrix;maria-faceira
3770;Casiornis rufus;Vieillot;1816;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Casiornis;rufus;maria-ferrugem
3589;Lophotriccus vitiosus;Bangs & Penard;1921;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Lophotriccus;vitiosus;maria-fiteira
3362;Onychorhynchus coronatus;Statius Muller;1776;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Onychorhynchidae;;Onychorhynchus;coronatus;maria-leque
3365;Onychorhynchus swainsoni;Pelzeln;1858;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Onychorhynchidae;;Onychorhynchus;swainsoni;maria-leque-do-sudeste
3581;Hemitriccus minimus;Todd;1925;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;minimus;maria-mirim
3665;Myiopagis gaimardii;d'Orbigny;1839;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Elaeniinae;Myiopagis;gaimardii;maria-pechim
3463;Phylloscartes sylviolus;Cabanis & Heine;1859;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;sylviolus;maria-pequena
3569;Hemitriccus iohannis;Snethlage;1907;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Hemitriccus;iohannis;maria-peruviana
3525;Poecilotriccus capitalis;Sclater;1857;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Poecilotriccus;capitalis;maria-picaça
